"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"99","1980-01-22T00:29:12.900Z",-13.439,166.616,45,4.9,"mb",NA,NA,NA,NA,"us","usp000153j","2014-11-06T23:24:16.883Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"100","1980-02-14T08:33:40.300Z",-13.032,166.834,201,4.6,"mb",NA,NA,NA,NA,"us","usp00015ej","2014-11-06T23:24:17.769Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"101","1980-03-12T12:26:29.800Z",-13.388,166.606,48,5,"mb",NA,NA,NA,NA,"us","usp00015zb","2014-11-06T23:24:18.990Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"102","1980-07-08T23:19:19.800Z",-12.41,166.381,33,7.5,"ms",NA,NA,NA,NA,"us","usp00018r3","2015-05-13T18:53:17.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"103","1980-07-09T00:07:17.700Z",-12.567,166.288,33,5.2,"mb",NA,NA,NA,NA,"us","usp00018r5","2014-11-06T23:24:24.137Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"104","1980-07-09T06:51:56.900Z",-12.787,166.089,33,4.8,"mb",NA,NA,NA,NA,"us","usp00018rk","2014-11-06T23:24:24.151Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"105","1980-07-09T11:00:18.900Z",-12.807,166.097,37,5.9,"ms",NA,NA,NA,NA,"us","usp00018rt","2015-05-13T18:53:17.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"106","1980-07-09T11:18:05.400Z",-12.765,166.275,33,4.8,"mb",NA,NA,NA,NA,"us","usp00018rv","2014-11-06T23:24:24.160Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"107","1980-07-09T11:24:50.600Z",-12.63,166.017,33,5.9,"ms",NA,NA,NA,NA,"us","usp00018rw","2015-05-13T18:53:17.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"108","1980-07-09T13:00:49.200Z",-12.807,166.323,33,5.4,"ms",NA,NA,NA,NA,"us","usp00018rx","2014-11-06T23:24:24.163Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"109","1980-07-09T13:24:14.500Z",-12.769,166.116,33,5.2,"mb",NA,NA,NA,NA,"us","usp00018ry","2014-11-06T23:24:24.163Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"110","1980-07-09T20:56:53.200Z",-12.689,166.004,33,6.7,"ms",NA,NA,NA,NA,"us","usp00018s5","2015-05-13T18:53:17.000Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"111","1980-07-09T21:29:20.700Z",-12.455,166.095,33,5.4,"mb",NA,NA,NA,NA,"us","usp00018s8","2014-11-06T23:24:24.173Z","Santa Cruz Islands","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"112","1980-07-10T17:34:29.100Z",-13.046,166.169,33,4.8,"mb",NA,NA,NA,NA,"us","usp00018sv","2014-11-06T23:24:24.196Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"113","1980-07-10T18:59:56.900Z",-13.017,166.259,33,4.8,"mb",NA,NA,NA,NA,"us","usp00018sw","2014-11-06T23:24:24.197Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"114","1980-07-11T03:02:40.200Z",-13.154,166.21,33,5.2,"mb",NA,NA,NA,NA,"us","usp00018t7","2014-11-06T23:24:24.207Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
"115","1980-07-11T03:14:17.700Z",-13.363,166.381,33,5.2,"mb",NA,NA,NA,NA,"us","usp00018t8","2014-11-06T23:24:24.208Z","Vanuatu","earthquake",NA,NA,NA,NA,"reviewed","us","us"
